"cty","Name","Teenage_Birth_Rate_women_only_rP_gF_pall"
"cty45017","Calhoun County, SC",0.2752
"cty72099","Moca Municipio, PR",0.2752
"cty48365","Panola County, TX",0.2752
"cty35059","Union County, NM",0.2749
"cty01125","Tuscaloosa County, AL",0.2749
"cty12037","Franklin County, FL",0.2748
"cty08071","Las Animas County, CO",0.2746
"cty01055","Etowah County, AL",0.2744
"cty48469","Victoria County, TX",0.2744
"cty04007","Gila County, AZ",0.2741
"cty28059","Jackson County, MS",0.2741
"cty21197","Powell County, KY",0.274
"cty28007","Attala County, MS",0.274
"cty35057","Torrance County, NM",0.2739
"cty22061","Lincoln Parish, LA",0.2739
"cty01093","Marion County, AL",0.2735
"cty29201","Scott County, MO",0.2732
"cty48247","Jim Hogg County, TX",0.2731
"cty47007","Bledsoe County, TN",0.2731
"cty48185","Grimes County, TX",0.2731
"cty47029","Cocke County, TN",0.273
"cty47101","Lewis County, TN",0.2727
"cty21109","Jackson County, KY",0.2726
"cty12043","Glades County, FL",0.2725
"cty40031","Comanche County, OK",0.2722
"cty28057","Itawamba County, MS",0.2721
"cty21105","Hickman County, KY",0.272
"cty37187","Washington County, NC",0.2718
"cty48231","Hunt County, TX",0.2717
"cty13119","Franklin County, GA",0.2716
"cty47151","Scott County, TN",0.2715
"cty40009","Beckham County, OK",0.2714
"cty48239","Jackson County, TX",0.2714
"cty35039","Rio Arriba County, NM",0.2713
"cty21075","Fulton County, KY",0.2711
"cty21181","Nicholas County, KY",0.2709
"cty08031","Denver County, CO",0.2702
"cty22115","Vernon Parish, LA",0.2701
"cty32015","Lander County, NV",0.2698
"cty72077","Juncos Municipio, PR",0.2697
"cty20107","Linn County, KS",0.2697
"cty22023","Cameron Parish, LA",0.2697
"cty48237","Jack County, TX",0.2695
"cty05033","Crawford County, AR",0.2693
"cty48275","Knox County, TX",0.2693
"cty28005","Amite County, MS",0.2693
"cty13211","Morgan County, GA",0.2692
"cty12063","Jackson County, FL",0.2691
"cty48257","Kaufman County, TX",0.269
"cty13089","DeKalb County, GA",0.269
"cty51800","Suffolk city, VA",0.269
"cty04017","Navajo County, AZ",0.2688
"cty48113","Dallas County, TX",0.2688
"cty47167","Tipton County, TN",0.2688
"cty29217","Vernon County, MO",0.2688
"cty51181","Surry County, VA",0.2687
"cty48147","Fannin County, TX",0.2686
"cty22015","Bossier Parish, LA",0.2686
"cty02180","Nome Census Area, AK",0.2682
"cty28089","Madison County, MS",0.2681
"cty22033","East Baton Rouge Parish, LA",0.268
"cty29229","Wright County, MO",0.268
"cty37061","Duplin County, NC",0.2678
"cty12045","Gulf County, FL",0.2677
"cty35033","Mora County, NM",0.2674
"cty28145","Union County, MS",0.267
"cty48451","Tom Green County, TX",0.2668
