"cty","Name","Median_Hhold._Income_of_Residents_in_2012-16"
"cty47095","Lake County, TN",29143
"cty28011","Bolivar County, MS",29131
"cty46095","Mellette County, SD",29104
"cty28143","Tunica County, MS",29060
"cty12079","Madison County, FL",29038
"cty13163","Jefferson County, GA",29031
"cty05099","Nevada County, AR",28984
"cty21053","Clinton County, KY",28976
"cty47061","Grundy County, TN",28968
"cty51027","Buchanan County, VA",28963
"cty45089","Williamsburg County, SC",28883
"cty48489","Willacy County, TX",28869
"cty21153","Magoffin County, KY",28792
"cty21159","Martin County, KY",28791
"cty51530","Buena Vista city, VA",28746
"cty21133","Letcher County, KY",28723
"cty28069","Kemper County, MS",28682
"cty72031","Carolina Municipio, PR",28663
"cty13301","Warren County, GA",28514
"cty28133","Sunflower County, MS",28443
"cty13099","Early County, GA",28419
"cty72051","Dorado Municipio, PR",28347
"cty22027","Claiborne Parish, LA",28305
"cty51750","Radford city, VA",28269
"cty13271","Telfair County, GA",27883
"cty13269","Taylor County, GA",27835
"cty13265","Taliaferro County, GA",27801
"cty13037","Calhoun County, GA",27775
"cty21075","Fulton County, KY",27674
"cty48507","Zavala County, TX",27612
"cty47027","Clay County, TN",27577
"cty21063","Elliott County, KY",27400
"cty48427","Starr County, TX",27184
"cty47067","Hancock County, TN",27149
"cty13165","Jenkins County, GA",27136
"cty51595","Emporia city, VA",27069
"cty28005","Amite County, MS",27041
"cty05041","Desha County, AR",27024
"cty48191","Hall County, TX",26905
"cty21095","Harlan County, KY",26871
"cty21121","Knox County, KY",26870
"cty35029","Luna County, NM",26846
"cty01035","Conecuh County, AL",26841
"cty13193","Macon County, GA",26740
"cty28083","Leflore County, MS",26691
"cty13141","Hancock County, GA",26574
"cty72025","Caguas Municipio, PR",26549
"cty35019","Guadalupe County, NM",26359
"cty48229","Hudspeth County, TX",26303
"cty72021","Bayamon Municipio, PR",26300
"cty05107","Phillips County, AR",26183
"cty05077","Lee County, AR",26099
"cty28065","Jefferson Davis County, MS",26037
"cty28157","Wilkinson County, MS",25908
"cty21025","Breathitt County, KY",25755
"cty22065","Madison Parish, LA",25716
"cty51720","Norton city, VA",25676
"cty35047","San Miguel County, NM",25625
"cty08023","Costilla County, CO",25623
"cty46102","Oglala Lakota County, SD",25534
"cty45005","Allendale County, SC",25421
"cty54047","McDowell County, WV",25381
"cty21131","Leslie County, KY",25035
"cty01131","Wilcox County, AL",24979
"cty72137","Toa Baja Municipio, PR",24955
"cty28021","Claiborne County, MS",24917
"cty22035","East Carroll Parish, LA",24676
"cty48047","Brooks County, TX",24634
"cty28119","Quitman County, MS",24611
"cty13065","Clinch County, GA",24544
"cty48443","Terrell County, TX",24512
"cty21189","Owsley County, KY",24449
"cty72127","San Juan Municipio, PR",24164
"cty22107","Tensas Parish, LA",24080
"cty28055","Issaquena County, MS",24003
"cty48261","Kenedy County, TX",23701
"cty28063","Jefferson County, MS",23697
"cty21013","Bell County, KY",23643
"cty21051","Clay County, KY",23627
"cty28053","Humphreys County, MS",23418
"cty72119","Rio Grande Municipio, PR",23240
"cty01105","Perry County, AL",22915
"cty21237","Wolfe County, KY",22807
"cty72033","Catano Municipio, PR",22556
"cty72029","Canovanas Municipio, PR",22477
"cty72041","Cidra Municipio, PR",22445
"cty72035","Cayey Municipio, PR",21918
"cty13061","Clay County, GA",21844
"cty72067","Hormigueros Municipio, PR",21839
"cty01063","Greene County, AL",21770
"cty72069","Humacao Municipio, PR",21357
"cty13259","Stewart County, GA",21266
"cty35033","Mora County, NM",20926
"cty21129","Lee County, KY",20917
"cty72049","Culebra Municipio, PR",20695
"cty72053","Fajardo Municipio, PR",20606
"cty28051","Holmes County, MS",20449
"cty72075","Juana Diaz Municipio, PR",20358
"cty21147","McCreary County, KY",20125
"cty01119","Sumter County, AL",19920
"cty72085","Las Piedras Municipio, PR",19738
"cty72089","Luquillo Municipio, PR",19713
"cty72037","Ceiba Municipio, PR",19596
"cty72149","Villalba Municipio, PR",19558
"cty72105","Naranjito Municipio, PR",19527
"cty72143","Vega Alta Municipio, PR",19348
"cty72145","Vega Baja Municipio, PR",19159
"cty72095","Maunabo Municipio, PR",18635
"cty72043","Coamo Municipio, PR",18620
"cty72091","Manati Municipio, PR",18615
"cty72077","Juncos Municipio, PR",18556
"cty72005","Aguadilla Municipio, PR",18367
"cty72103","Naguabo Municipio, PR",18307
"cty72065","Hatillo Municipio, PR",18277
"cty72009","Aibonito Municipio, PR",18183
"cty72129","San Lorenzo Municipio, PR",18080
"cty72027","Camuy Municipio, PR",18031
"cty72087","Loiza Municipio, PR",17962
"cty72117","Rincon Municipio, PR",17926
"cty72011","Anasco Municipio, PR",17898
"cty72147","Vieques Municipio, PR",17832
"cty72113","Ponce Municipio, PR",17671
"cty72023","Cabo Rojo Municipio, PR",17545
"cty72101","Morovis Municipio, PR",17456
"cty72111","Penuelas Municipio, PR",17071
"cty72013","Arecibo Municipio, PR",17057
"cty72097","Mayaguez Municipio, PR",16951
"cty72123","Salinas Municipio, PR",16912
"cty72151","Yabucoa Municipio, PR",16733
"cty72054","Florida Municipio, PR",16551
"cty72003","Aguada Municipio, PR",16233
"cty72133","Santa Isabel Municipio, PR",16173
"cty72141","Utuado Municipio, PR",16083
"cty72015","Arroyo Municipio, PR",16039
"cty72073","Jayuya Municipio, PR",15700
"cty72017","Barceloneta Municipio, PR",15649
"cty72071","Isabela Municipio, PR",15557
"cty72007","Aguas Buenas Municipio, PR",15530
"cty72153","Yauco Municipio, PR",15493
"cty72115","Quebradillas Municipio, PR",15398
"cty72057","Guayama Municipio, PR",15245
"cty72059","Guayanilla Municipio, PR",15221
"cty72121","Sabana Grande Municipio, PR",15207
"cty72125","San German Municipio, PR",15113
"cty72047","Corozal Municipio, PR",15034
"cty72019","Barranquitas Municipio, PR",14574
"cty72107","Orocovis Municipio, PR",14495
"cty72099","Moca Municipio, PR",13892
"cty72131","San Sebastian Municipio, PR",13872
"cty72109","Patillas Municipio, PR",13763
"cty72079","Lajas Municipio, PR",13577
"cty72055","Guanica Municipio, PR",13035
"cty72083","Las Marias Municipio, PR",12843
"cty72039","Ciales Municipio, PR",12694
"cty72045","Comerio Municipio, PR",12620
"cty72081","Lares Municipio, PR",12287
"cty72093","Maricao Municipio, PR",11648
"cty72001","Adjuntas Municipio, PR",11495
"cty02158","Kusilvak Census Area, AK",
"cty02270",,
