"cty","Name","Median_Hhold._Income_of_Residents_in_2012-16"
"cty42133","York County, PA",60693
"cty49013","Duchesne County, UT",60672
"cty56029","Park County, WY",60649
"cty40083","Logan County, OK",60627
"cty42125","Washington County, PA",60625
"cty39085","Lake County, OH",60621
"cty41051","Multnomah County, OR",60620
"cty12089","Nassau County, FL",60605
"cty23031","York County, ME",60523
"cty38055","McLean County, ND",60507
"cty39097","Madison County, OH",60461
"cty56025","Natrona County, WY",60444
"cty18043","Floyd County, IN",60444
"cty17031","Cook County, IL",60440
"cty08031","Denver County, CO",60335
"cty36081","Queens County, NY",60324
"cty53029","Island County, WA",60317
"cty27147","Steele County, MN",60297
"cty48009","Archer County, TX",60274
"cty39129","Pickaway County, OH",60273
"cty13085","Dawson County, GA",60237
"cty48251","Johnson County, TX",60227
"cty34009","Cape May County, NJ",60227
"cty27103","Nicollet County, MN",60215
"cty12113","Santa Rosa County, FL",60214
"cty47149","Rutherford County, TN",60121
"cty06113","Yolo County, CA",60101
"cty39137","Putnam County, OH",60079
"cty55021","Columbia County, WI",60041
"cty50001","Addison County, VT",60039
"cty12087","Monroe County, FL",60025
"cty35043","Sandoval County, NM",59956
"cty31073","Gosper County, NE",59955
"cty19031","Cedar County, IA",59947
"cty48295","Lipscomb County, TX",59925
"cty42071","Lancaster County, PA",59900
"cty37029","Camden County, NC",59839
"cty27131","Rice County, MN",59782
"cty06057","Nevada County, CA",59735
"cty19119","Lyon County, IA",59679
"cty12011","Broward County, FL",59637
"cty32031","Washoe County, NV",59612
"cty19075","Grundy County, IA",59602
"cty42077","Lehigh County, PA",59569
"cty40027","Cleveland County, OK",59489
"cty45091","York County, SC",59458
"cty27123","Ramsey County, MN",59448
"cty17167","Sangamon County, IL",59421
"cty31081","Hamilton County, NE",59417
"cty48103","Crane County, TX",59384
"cty46061","Hanson County, SD",59340
"cty42003","Allegheny County, PA",59308
"cty46117","Stanley County, SD",59298
"cty46057","Hamlin County, SD",59290
"cty35015","Eddy County, NM",59271
"cty40153","Woodward County, OK",59268
"cty45013","Beaufort County, SC",59251
"cty36069","Ontario County, NY",59235
