"cty","Name","Poverty_Rate_in_2012-16"
"cty48261","Kenedy County, TX",0.2276
"cty51049","Cumberland County, VA",0.2275
"cty21053","Clinton County, KY",0.2273
"cty40115","Ottawa County, OK",0.2271
"cty37103","Jones County, NC",0.227
"cty13209","Montgomery County, GA",0.2269
"cty54001","Barbour County, WV",0.2268
"cty22105","Tangipahoa Parish, LA",0.2268
"cty48105","Crockett County, TX",0.2268
"cty12121","Suwannee County, FL",0.2266
"cty26065","Ingham County, MI",0.2265
"cty48293","Limestone County, TX",0.2265
"cty28129","Smith County, MS",0.2265
"cty28009","Benton County, MS",0.2263
"cty47081","Hickman County, TN",0.2262
"cty08109","Saguache County, CO",0.2262
"cty53001","Adams County, WA",0.2261
"cty26133","Osceola County, MI",0.226
"cty28087","Lowndes County, MS",0.2258
"cty47005","Benton County, TN",0.2258
"cty29203","Shannon County, MO",0.2258
"cty29091","Howell County, MO",0.2257
"cty47013","Campbell County, TN",0.2257
"cty21127","Lawrence County, KY",0.2256
"cty47025","Claiborne County, TN",0.2255
"cty20207","Woodson County, KS",0.2254
"cty05133","Sevier County, AR",0.2253
"cty35033","Mora County, NM",0.2253
"cty13171","Lamar County, GA",0.225
"cty47071","Hardin County, TN",0.225
"cty35005","Chaves County, NM",0.2249
"cty37123","Montgomery County, NC",0.2249
"cty51830","Williamsburg city, VA",0.2248
"cty13307","Webster County, GA",0.2247
"cty13293","Upson County, GA",0.2245
"cty21069","Fleming County, KY",0.2245
"cty29009","Barry County, MO",0.2244
"cty29011","Barton County, MO",0.2243
"cty27087","Mahnomen County, MN",0.2241
"cty06039","Madera County, CA",0.2241
"cty37107","Lenoir County, NC",0.224
"cty51770","Roanoke city, VA",0.224
"cty37095","Hyde County, NC",0.224
"cty05131","Sebastian County, AR",0.2238
"cty29185","St. Clair County, MO",0.2238
"cty20037","Crawford County, KS",0.2235
"cty42027","Centre County, PA",0.2234
"cty21057","Cumberland County, KY",0.2234
"cty30089","Sanders County, MT",0.2232
"cty30041","Hill County, MT",0.2231
"cty28107","Panola County, MS",0.223
"cty40021","Cherokee County, OK",0.2227
"cty12075","Levy County, FL",0.2227
"cty13055","Chattooga County, GA",0.2225
"cty05135","Sharp County, AR",0.2224
"cty13091","Dodge County, GA",0.2223
"cty35051","Sierra County, NM",0.2222
"cty04009","Graham County, AZ",0.222
"cty37007","Anson County, NC",0.2218
"cty05111","Poinsett County, AR",0.2214
"cty16045","Gem County, ID",0.2213
"cty35055","Taos County, NM",0.2212
"cty05021","Clay County, AR",0.2212
"cty53037","Kittitas County, WA",0.2211
"cty01113","Russell County, AL",0.221
"cty17165","Saline County, IL",0.2209
"cty28099","Neshoba County, MS",0.2208
"cty06093","Siskiyou County, CA",0.2208
"cty48315","Marion County, TX",0.2207
"cty01127","Walker County, AL",0.2206
"cty46085","Lyman County, SD",0.2204
"cty28061","Jasper County, MS",0.2204
"cty37191","Wayne County, NC",0.2204
"cty29093","Iron County, MO",0.2204
"cty08021","Conejos County, CO",0.2203
"cty51141","Patrick County, VA",0.2203
"cty48153","Floyd County, TX",0.2202
"cty04023","Santa Cruz County, AZ",0.2201
"cty36109","Tompkins County, NY",0.22
"cty35009","Curry County, NM",0.2199
"cty29065","Dent County, MO",0.2198
"cty12063","Jackson County, FL",0.2197
"cty40127","Pushmataha County, OK",0.2196
"cty47041","DeKalb County, TN",0.2196
"cty29161","Phelps County, MO",0.2195
"cty40075","Kiowa County, OK",0.2193
"cty37033","Caswell County, NC",0.2191
"cty01101","Montgomery County, AL",0.2187
