"cty","Name","Incarceration_Rate_rP_gP_pall"
"cty28117","Prentiss County, MS",0.0183
"cty48021","Bastrop County, TX",0.0183
"cty29039","Cedar County, MO",0.0183
"cty08087","Morgan County, CO",0.0183
"cty28145","Union County, MS",0.0183
"cty21107","Hopkins County, KY",0.0183
"cty41025","Harney County, OR",0.0183
"cty29119","McDonald County, MO",0.0182
"cty22051","Jefferson Parish, LA",0.0182
"cty48251","Johnson County, TX",0.0182
"cty37119","Mecklenburg County, NC",0.0182
"cty12057","Hillsborough County, FL",0.0182
"cty13213","Murray County, GA",0.0182
"cty45013","Beaufort County, SC",0.0182
"cty51840","Winchester city, VA",0.0182
"cty28107","Panola County, MS",0.0182
"cty13091","Dodge County, GA",0.0182
"cty18069","Huntington County, IN",0.0182
"cty12095","Orange County, FL",0.0181
"cty39035","Cuyahoga County, OH",0.0181
"cty16047","Gooding County, ID",0.0181
"cty48047","Brooks County, TX",0.0181
"cty22031","De Soto Parish, LA",0.0181
"cty51001","Accomack County, VA",0.0181
"cty51750","Radford city, VA",0.0181
"cty51135","Nottoway County, VA",0.0181
"cty21085","Grayson County, KY",0.0181
"cty12053","Hernando County, FL",0.018
"cty12009","Brevard County, FL",0.018
"cty47065","Hamilton County, TN",0.018
"cty26163","Wayne County, MI",0.018
"cty48187","Guadalupe County, TX",0.018
"cty18067","Howard County, IN",0.018
"cty37097","Iredell County, NC",0.018
"cty21113","Jessamine County, KY",0.018
"cty56007","Carbon County, WY",0.018
"cty04001","Apache County, AZ",0.0179
"cty39061","Hamilton County, OH",0.0179
"cty48135","Ector County, TX",0.0179
"cty22015","Bossier Parish, LA",0.0179
"cty48329","Midland County, TX",0.0179
"cty45031","Darlington County, SC",0.0179
"cty51181","Surry County, VA",0.0179
"cty16083","Twin Falls County, ID",0.0179
"cty45061","Lee County, SC",0.0179
"cty47169","Trousdale County, TN",0.0179
"cty06063","Plumas County, CA",0.0179
"cty47117","Marshall County, TN",0.0179
"cty48209","Hays County, TX",0.0178
"cty48125","Dickens County, TX",0.0178
"cty29139","Montgomery County, MO",0.0178
"cty21173","Montgomery County, KY",0.0178
"cty21181","Nicholas County, KY",0.0178
"cty13083","Dade County, GA",0.0178
"cty26027","Cass County, MI",0.0178
"cty12041","Gilchrist County, FL",0.0178
"cty51093","Isle of Wight County, VA",0.0178
"cty48023","Baylor County, TX",0.0178
"cty37147","Pitt County, NC",0.0178
"cty12131","Walton County, FL",0.0178
"cty40013","Bryan County, OK",0.0177
"cty08077","Mesa County, CO",0.0177
"cty48367","Parker County, TX",0.0177
"cty01081","Lee County, AL",0.0177
"cty37041","Chowan County, NC",0.0177
"cty28123","Scott County, MS",0.0177
"cty35025","Lea County, NM",0.0177
"cty12051","Hendry County, FL",0.0177
"cty45033","Dillon County, SC",0.0176
"cty35006","Cibola County, NM",0.0176
"cty40037","Creek County, OK",0.0176
"cty40047","Garfield County, OK",0.0176
"cty48099","Coryell County, TX",0.0176
"cty39027","Clinton County, OH",0.0176
"cty28153","Wayne County, MS",0.0176
"cty37137","Pamlico County, NC",0.0176
"cty18023","Clinton County, IN",0.0176
"cty24047","Worcester County, MD",0.0176
"cty12089","Nassau County, FL",0.0176
"cty48013","Atascosa County, TX",0.0176
"cty48253","Jones County, TX",0.0176
"cty47163","Sullivan County, TN",0.0176
"cty40135","Sequoyah County, OK",0.0175
"cty41031","Jefferson County, OR",0.0175
"cty48361","Orange County, TX",0.0175
"cty05057","Hempstead County, AR",0.0175
"cty48369","Parmer County, TX",0.0175
"cty51143","Pittsylvania County, VA",0.0175
"cty13019","Berrien County, GA",0.0175
"cty47059","Greene County, TN",0.0175
"cty51133","Northumberland County, VA",0.0175
"cty45085","Sumter County, SC",0.0174
"cty40123","Pontotoc County, OK",0.0174
"cty05033","Crawford County, AR",0.0174
"cty28047","Harrison County, MS",0.0174
"cty55101","Racine County, WI",0.0174
"cty48219","Hockley County, TX",0.0174
"cty48191","Hall County, TX",0.0174
"cty30015","Chouteau County, MT",0.0174
"cty51077","Grayson County, VA",0.0174
"cty21101","Henderson County, KY",0.0174
"cty51105","Lee County, VA",0.0174
"cty28019","Choctaw County, MS",0.0174
"cty47005","Benton County, TN",0.0174
"cty22059","LaSalle Parish, LA",0.0174
"cty40075","Kiowa County, OK",0.0173
"cty48485","Wichita County, TX",0.0173
"cty08043","Fremont County, CO",0.0173
"cty17153","Pulaski County, IL",0.0173
"cty28103","Noxubee County, MS",0.0173
"cty22053","Jefferson Davis Parish, LA",0.0173
"cty37077","Granville County, NC",0.0173
"cty48475","Ward County, TX",0.0173
"cty13261","Sumter County, GA",0.0173
"cty29117","Livingston County, MO",0.0173
"cty54063","Monroe County, WV",0.0173
"cty35047","San Miguel County, NM",0.0173
"cty40029","Coal County, OK",0.0172
"cty37047","Columbus County, NC",0.0172
"cty51087","Henrico County, VA",0.0172
"cty37157","Rockingham County, NC",0.0172
"cty28137","Tate County, MS",0.0172
"cty12129","Wakulla County, FL",0.0172
"cty51191","Washington County, VA",0.0172
"cty13187","Lumpkin County, GA",0.0172
"cty01029","Cleburne County, AL",0.0172
"cty21111","Jefferson County, KY",0.0171
"cty34011","Cumberland County, NJ",0.0171
"cty45003","Aiken County, SC",0.0171
"cty28109","Pearl River County, MS",0.0171
"cty48035","Bosque County, TX",0.0171
"cty29055","Crawford County, MO",0.0171
"cty47043","Dickson County, TN",0.0171
"cty18013","Brown County, IN",0.0171
"cty22099","St. Martin Parish, LA",0.0171
"cty72107","Orocovis Municipio, PR",0.0171
"cty20059","Franklin County, KS",0.0171
"cty40105","Nowata County, OK",0.017
"cty02220","Sitka City and Borough, AK",0.017
"cty28089","Madison County, MS",0.017
"cty48241","Jasper County, TX",0.017
"cty22061","Lincoln Parish, LA",0.017
"cty48389","Reeves County, TX",0.017
"cty22095","St. John the Baptist Parish, LA",0.017
"cty18015","Carroll County, IN",0.017
"cty39101","Marion County, OH",0.017
"cty40049","Garvin County, OK",0.0169
"cty40019","Carter County, OK",0.0169
"cty37071","Gaston County, NC",0.0169
"cty12115","Sarasota County, FL",0.0169
"cty26145","Saginaw County, MI",0.0169
"cty05095","Monroe County, AR",0.0169
"cty29213","Taney County, MO",0.0169
"cty21047","Christian County, KY",0.0169
"cty39023","Clark County, OH",0.0169
"cty17121","Marion County, IL",0.0169
"cty37195","Wilson County, NC",0.0169
"cty51530","Buena Vista city, VA",0.0169
"cty33019","Sullivan County, NH",0.0169
"cty48503","Young County, TX",0.0169
"cty46103","Pennington County, SD",0.0168
"cty45051","Horry County, SC",0.0168
"cty12099","Palm Beach County, FL",0.0168
"cty29163","Pike County, MO",0.0168
"cty12003","Baker County, FL",0.0168
"cty04023","Santa Cruz County, AZ",0.0168
"cty28159","Winston County, MS",0.0168
"cty21055","Crittenden County, KY",0.0168
"cty18009","Blackford County, IN",0.0168
"cty01045","Dale County, AL",0.0168
"cty51137","Orange County, VA",0.0168
"cty13223","Paulding County, GA",0.0168
"cty48481","Wharton County, TX",0.0168
"cty35007","Colfax County, NM",0.0168
"cty21063","Elliott County, KY",0.0168
"cty20125","Montgomery County, KS",0.0167
"cty12033","Escambia County, FL",0.0167
"cty21043","Carter County, KY",0.0167
"cty35029","Luna County, NM",0.0167
"cty47181","Wayne County, TN",0.0167
"cty48003","Andrews County, TX",0.0167
"cty46047","Fall River County, SD",0.0166
"cty37083","Halifax County, NC",0.0166
"cty12071","Lee County, FL",0.0166
"cty20173","Sedgwick County, KS",0.0166
"cty01089","Madison County, AL",0.0166
"cty13209","Montgomery County, GA",0.0166
"cty21203","Rockcastle County, KY",0.0166
"cty37019","Brunswick County, NC",0.0166
"cty39087","Lawrence County, OH",0.0166
"cty21049","Clark County, KY",0.0166
"cty54089","Summers County, WV",0.0166
"cty29083","Henry County, MO",0.0166
"cty13249","Schley County, GA",0.0166
"cty08075","Logan County, CO",0.0166
"cty47161","Stewart County, TN",0.0166
"cty28085","Lincoln County, MS",0.0166
"cty13183","Long County, GA",0.0166
"cty13085","Dawson County, GA",0.0166
"cty32029","Storey County, NV",0.0166
"cty46071","Jackson County, SD",0.0165
"cty22055","Lafayette Parish, LA",0.0165
"cty02198","Prince of Wales-Hyder Census Area, AK",0.0165
"cty13153","Houston County, GA",0.0165
"cty48015","Austin County, TX",0.0165
"cty48267","Kimble County, TX",0.0165
"cty72071","Isabela Municipio, PR",0.0165
"cty47119","Maury County, TN",0.0165
"cty51031","Campbell County, VA",0.0165
"cty01125","Tuscaloosa County, AL",0.0165
"cty42053","Forest County, PA",0.0165
"cty48289","Leon County, TX",0.0165
"cty22109","Terrebonne Parish, LA",0.0164
"cty02261","Chugach Census Area, AK",0.0164
"cty40115","Ottawa County, OK",0.0164
"cty47125","Montgomery County, TN",0.0164
"cty18003","Allen County, IN",0.0164
"cty13211","Morgan County, GA",0.0164
"cty13275","Thomas County, GA",0.0164
"cty18083","Knox County, IN",0.0164
"cty01123","Tallapoosa County, AL",0.0164
"cty18065","Henry County, IN",0.0164
"cty36041","Hamilton County, NY",0.0164
"cty36005","Bronx County, NY",0.0163
"cty04019","Pima County, AZ",0.0163
"cty01015","Calhoun County, AL",0.0163
"cty34007","Camden County, NJ",0.0163
"cty47047","Fayette County, TN",0.0163
"cty01021","Chilton County, AL",0.0163
"cty24029","Kent County, MD",0.0163
"cty16031","Cassia County, ID",0.0163
"cty18161","Union County, IN",0.0163
"cty18115","Ohio County, IN",0.0163
"cty40031","Comanche County, OK",0.0162
"cty40035","Craig County, OK",0.0162
"cty26121","Muskegon County, MI",0.0162
"cty12097","Osceola County, FL",0.0162
"cty29215","Texas County, MO",0.0162
"cty51173","Smyth County, VA",0.0162
"cty37025","Cabarrus County, NC",0.0162
"cty28147","Walthall County, MS",0.0162
"cty35055","Taos County, NM",0.0161
"cty40023","Choctaw County, OK",0.0161
"cty37185","Warren County, NC",0.0161
"cty12011","Broward County, FL",0.0161
"cty53015","Cowlitz County, WA",0.0161
"cty37067","Forsyth County, NC",0.0161
"cty05133","Sevier County, AR",0.0161
"cty22007","Assumption Parish, LA",0.0161
"cty21027","Breckinridge County, KY",0.0161
"cty13257","Stephens County, GA",0.0161
"cty13157","Jackson County, GA",0.0161
"cty39001","Adams County, OH",0.0161
"cty05031","Craighead County, AR",0.0161
"cty40005","Atoka County, OK",0.016
"cty12029","Dixie County, FL",0.016
"cty18113","Noble County, IN",0.016
"cty29107","Lafayette County, MO",0.016
"cty29093","Iron County, MO",0.016
"cty35041","Roosevelt County, NM",0.016
"cty17143","Peoria County, IL",0.016
"cty28067","Jones County, MS",0.0159
"cty40071","Kay County, OK",0.0159
"cty35061","Valencia County, NM",0.0159
"cty47083","Houston County, TN",0.0159
"cty13025","Brantley County, GA",0.0159
"cty29169","Pulaski County, MO",0.0159
"cty05083","Logan County, AR",0.0159
"cty17169","Schuyler County, IL",0.0159
"cty47023","Chester County, TN",0.0159
"cty47035","Cumberland County, TN",0.0159
"cty21079","Garrard County, KY",0.0159
"cty18079","Jennings County, IN",0.0159
"cty02016","Aleutians West Census Area, AK",0.0159
"cty18027","Daviess County, IN",0.0159
"cty34021","Mercer County, NJ",0.0159
"cty24015","Cecil County, MD",0.0159
"cty46019","Butte County, SD",0.0159
"cty53077","Yakima County, WA",0.0158
"cty53049","Pacific County, WA",0.0158
"cty37033","Caswell County, NC",0.0158
"cty37145","Person County, NC",0.0158
"cty29105","Laclede County, MO",0.0158
"cty48495","Winkler County, TX",0.0158
"cty47141","Putnam County, TN",0.0158
"cty08109","Saguache County, CO",0.0158
"cty48413","Schleicher County, TX",0.0158
"cty51015","Augusta County, VA",0.0158
"cty01047","Dallas County, AL",0.0158
"cty21233","Webster County, KY",0.0158
"cty28079","Leake County, MS",0.0157
"cty21161","Mason County, KY",0.0157
"cty22013","Bienville Parish, LA",0.0157
"cty22027","Claiborne Parish, LA",0.0157
"cty48063","Camp County, TX",0.0157
"cty72081","Lares Municipio, PR",0.0157
"cty47147","Robertson County, TN",0.0157
"cty39071","Highland County, OH",0.0157
"cty21175","Morgan County, KY",0.0157
"cty16045","Gem County, ID",0.0157
"cty13291","Union County, GA",0.0157
"cty08105","Rio Grande County, CO",0.0157
"cty35031","McKinley County, NM",0.0156
"cty40121","Pittsburg County, OK",0.0156
"cty28059","Jackson County, MS",0.0156
"cty05013","Calhoun County, AR",0.0156
"cty39015","Brown County, OH",0.0156
"cty40043","Dewey County, OK",0.0156
"cty12125","Union County, FL",0.0156
"cty37139","Pasquotank County, NC",0.0156
"cty08071","Las Animas County, CO",0.0156
"cty16067","Minidoka County, ID",0.0156
"cty29131","Miller County, MO",0.0156
"cty48043","Brewster County, TX",0.0156
"cty17091","Kankakee County, IL",0.0156
"cty05111","Poinsett County, AR",0.0156
"cty51640","Galax city, VA",0.0156
"cty35035","Otero County, NM",0.0155
"cty35013","Doña Ana County, NM",0.0155
"cty12103","Pinellas County, FL",0.0155
"cty40153","Woodward County, OK",0.0155
"cty17031","Cook County, IL",0.0155
"cty37057","Davidson County, NC",0.0155
"cty29195","Saline County, MO",0.0155
"cty47111","Macon County, TN",0.0155
"cty05135","Sharp County, AR",0.0155
"cty29223","Wayne County, MO",0.0155
"cty16077","Power County, ID",0.0155
"cty21189","Owsley County, KY",0.0155
"cty21083","Graves County, KY",0.0155
"cty05049","Fulton County, AR",0.0155
"cty28011","Bolivar County, MS",0.0155
"cty04025","Yavapai County, AZ",0.0154
"cty08041","El Paso County, CO",0.0154
"cty22003","Allen Parish, LA",0.0154
"cty13147","Hart County, GA",0.0154
"cty13029","Bryan County, GA",0.0154
"cty21045","Casey County, KY",0.0154
"cty13039","Camden County, GA",0.0154
"cty20175","Seward County, KS",0.0154
"cty28115","Pontotoc County, MS",0.0154
"cty01019","Cherokee County, AL",0.0154
"cty01061","Geneva County, AL",0.0154
"cty06011","Colusa County, CA",0.0154
"cty51177","Spotsylvania County, VA",0.0154
"cty30047","Lake County, MT",0.0153
"cty39113","Montgomery County, OH",0.0153
"cty18089","Lake County, IN",0.0153
"cty51011","Appomattox County, VA",0.0153
"cty37169","Stokes County, NC",0.0153
"cty28033","DeSoto County, MS",0.0153
"cty54017","Doddridge County, WV",0.0153
"cty13231","Pike County, GA",0.0153
"cty48383","Reagan County, TX",0.0153
"cty48429","Stephens County, TX",0.0153
"cty13145","Harris County, GA",0.0153
"cty26025","Calhoun County, MI",0.0153
"cty18085","Kosciusko County, IN",0.0153
"cty29035","Carter County, MO",0.0153
"cty13289","Twiggs County, GA",0.0153
"cty01001","Autauga County, AL",0.0153
"cty39049","Franklin County, OH",0.0152
"cty41047","Marion County, OR",0.0152
"cty40065","Jackson County, OK",0.0152
"cty13011","Banks County, GA",0.0152
"cty26133","Osceola County, MI",0.0152
"cty29197","Schuyler County, MO",0.0152
"cty48489","Willacy County, TX",0.0152
"cty48111","Dallam County, TX",0.0152
"cty13301","Warren County, GA",0.0152
"cty48415","Scurry County, TX",0.0152
"cty18157","Tippecanoe County, IN",0.0152
"cty51149","Prince George County, VA",0.0152
"cty51049","Cumberland County, VA",0.0152
"cty47189","Wilson County, TN",0.0152
"cty32019","Lyon County, NV",0.0151
"cty48229","Hudspeth County, TX",0.0151
"cty21127","Lawrence County, KY",0.0151
"cty37073","Gates County, NC",0.0151
"cty47091","Johnson County, TN",0.0151
"cty21089","Greenup County, KY",0.0151
"cty20165","Rush County, KS",0.0151
"cty46007","Bennett County, SD",0.015
"cty04003","Cochise County, AZ",0.015
"cty40111","Okmulgee County, OK",0.015
"cty16069","Nez Perce County, ID",0.015
"cty56021","Laramie County, WY",0.015
"cty40137","Stephens County, OK",0.015
"cty29019","Boone County, MO",0.015
"cty45007","Anderson County, SC",0.015
"cty48299","Llano County, TX",0.015
"cty13013","Barrow County, GA",0.015
"cty17183","Vermilion County, IL",0.015
"cty12067","Lafayette County, FL",0.015
"cty29079","Grundy County, MO",0.015
"cty28013","Calhoun County, MS",0.015
"cty48053","Burnet County, TX",0.015
"cty48499","Wood County, TX",0.015
"cty48221","Hood County, TX",0.015
"cty56035","Sublette County, WY",0.015
"cty51095","James City County, VA",0.015
"cty40055","Greer County, OK",0.015
"cty48371","Pecos County, TX",0.015
"cty02164","Lake and Peninsula Borough, AK",0.0149
"cty53045","Mason County, WA",0.0149
"cty55113","Sawyer County, WI",0.0149
"cty26019","Benzie County, MI",0.0149
"cty13151","Henry County, GA",0.0149
"cty37061","Duplin County, NC",0.0149
"cty28003","Alcorn County, MS",0.0149
"cty48357","Ochiltree County, TX",0.0149
"cty51043","Clarke County, VA",0.0149
"cty22037","East Feliciana Parish, LA",0.0149
"cty05085","Lonoke County, AR",0.0149
"cty37105","Lee County, NC",0.0149
"cty46085","Lyman County, SD",0.0148
"cty04027","Yuma County, AZ",0.0148
"cty31055","Douglas County, NE",0.0148
"cty35001","Bernalillo County, NM",0.0148
"cty40081","Lincoln County, OK",0.0148
"cty18141","St. Joseph County, IN",0.0148
"cty01017","Chambers County, AL",0.0148
"cty06049","Modoc County, CA",0.0148
"cty54055","Mercer County, WV",0.0148
"cty37011","Avery County, NC",0.0148
"cty28041","Greene County, MS",0.0148
"cty48075","Childress County, TX",0.0148
"cty37191","Wayne County, NC",0.0148
"cty48017","Bailey County, TX",0.0148
"cty22047","Iberville Parish, LA",0.0148
"cty47051","Franklin County, TN",0.0148
"cty18005","Bartholomew County, IN",0.0148
"cty41045","Malheur County, OR",0.0148
"cty56025","Natrona County, WY",0.0147
"cty40063","Hughes County, OK",0.0147
"cty06031","Kings County, CA",0.0147
"cty40051","Grady County, OK",0.0147
"cty37127","Nash County, NC",0.0147
"cty35027","Lincoln County, NM",0.0147
"cty21193","Perry County, KY",0.0147
"cty29007","Audrain County, MO",0.0147
"cty18149","Starke County, IN",0.0147
"cty37199","Yancey County, NC",0.0147
"cty24043","Washington County, MD",0.0147
"cty49023","Juab County, UT",0.0147
"cty51187","Warren County, VA",0.0147
"cty48479","Webb County, TX",0.0147
"cty47033","Crockett County, TN",0.0147
"cty22011","Beauregard Parish, LA",0.0147
"cty47101","Lewis County, TN",0.0147
"cty29221","Washington County, MO",0.0147
"cty35053","Socorro County, NM",0.0146
"cty56019","Johnson County, WY",0.0146
"cty51069","Frederick County, VA",0.0146
"cty05063","Independence County, AR",0.0146
"cty18001","Adams County, IN",0.0146
"cty18091","LaPorte County, IN",0.0146
"cty48283","La Salle County, TX",0.0146
"cty15007","Kauai County, HI",0.0146
"cty48233","Hutchinson County, TX",0.0146
"cty24041","Talbot County, MD",0.0146
"cty39021","Champaign County, OH",0.0146
"cty28045","Hancock County, MS",0.0146
"cty48273","Kleberg County, TX",0.0146
"cty05027","Columbia County, AR",0.0145
"cty39139","Richland County, OH",0.0145
"cty29123","Madison County, MO",0.0145
"cty48077","Clay County, TX",0.0145
"cty12049","Hardee County, FL",0.0145
"cty54031","Hardy County, WV",0.0145
"cty05061","Howard County, AR",0.0145
"cty35033","Mora County, NM",0.0145
"cty39079","Jackson County, OH",0.0145
"cty20111","Lyon County, KS",0.0145
"cty40089","McCurtain County, OK",0.0144
"cty30003","Big Horn County, MT",0.0144
"cty40103","Noble County, OK",0.0144
"cty12086","Miami-Dade County, FL",0.0144
"cty22115","Vernon Parish, LA",0.0144
"cty40053","Grant County, OK",0.0144
"cty28015","Carroll County, MS",0.0144
"cty26003","Alger County, MI",0.0144
"cty35015","Eddy County, NM",0.0144
"cty47069","Hardeman County, TN",0.0144
"cty29059","Dallas County, MO",0.0144
"cty48057","Calhoun County, TX",0.0144
"cty18093","Lawrence County, IN",0.0144
"cty54003","Berkeley County, WV",0.0144
"cty20093","Kearny County, KS",0.0144
"cty21179","Nelson County, KY",0.0144
"cty22075","Plaquemines Parish, LA",0.0144
"cty17163","St. Clair County, IL",0.0143
"cty48381","Randall County, TX",0.0143
"cty08093","Park County, CO",0.0143
"cty47073","Hawkins County, TN",0.0143
"cty18181","White County, IN",0.0143
"cty47031","Coffee County, TN",0.0143
"cty29217","Vernon County, MO",0.0143
"cty21061","Edmonson County, KY",0.0143
"cty47001","Anderson County, TN",0.0143
"cty21143","Lyon County, KY",0.0143
"cty55069","Lincoln County, WI",0.0143
"cty38085","Sioux County, ND",0.0142
"cty12127","Volusia County, FL",0.0142
"cty20035","Cowley County, KS",0.0142
"cty18051","Gibson County, IN",0.0142
"cty53021","Franklin County, WA",0.0142
"cty29109","Lawrence County, MO",0.0142
"cty48249","Jim Wells County, TX",0.0142
"cty21227","Warren County, KY",0.0142
"cty26149","St. Joseph County, MI",0.0142
"cty47165","Sumner County, TN",0.0142
"cty40003","Alfalfa County, OK",0.0142
"cty22097","St. Landry Parish, LA",0.0142
"cty38043","Kidder County, ND",0.0142
"cty21199","Pulaski County, KY",0.0142
"cty51660","Harrisonburg city, VA",0.0142
"cty17101","Lawrence County, IL",0.0142
"cty18045","Fountain County, IN",0.0142
"cty41041","Lincoln County, OR",0.0141
"cty47153","Sequatchie County, TN",0.0141
"cty37013","Beaufort County, NC",0.0141
"cty47009","Blount County, TN",0.0141
"cty29113","Lincoln County, MO",0.0141
"cty18151","Steuben County, IN",0.0141
"cty08099","Prowers County, CO",0.0141
"cty48327","Menard County, TX",0.0141
"cty51009","Amherst County, VA",0.0141
"cty01133","Winston County, AL",0.0141
"cty40129","Roger Mills County, OK",0.0141
"cty42065","Jefferson County, PA",0.0141
"cty23029","Washington County, ME",0.014
"cty06103","Tehama County, CA",0.014
"cty12091","Okaloosa County, FL",0.014
"cty01009","Blount County, AL",0.014
"cty48287","Lee County, TX",0.014
"cty26009","Antrim County, MI",0.014
"cty20159","Rice County, KS",0.014
"cty51101","King William County, VA",0.014
"cty51027","Buchanan County, VA",0.014
"cty13197","Marion County, GA",0.014
"cty37117","Martin County, NC",0.014
"cty47129","Morgan County, TN",0.014
"cty16009","Benewah County, ID",0.0139
"cty55105","Rock County, WI",0.0139
"cty26095","Luce County, MI",0.0139
"cty28061","Jasper County, MS",0.0139
"cty28149","Warren County, MS",0.0139
"cty12021","Collier County, FL",0.0139
"cty21105","Hickman County, KY",0.0139
"cty21151","Madison County, KY",0.0139
"cty21141","Logan County, KY",0.0139
"cty51510","Alexandria city, VA",0.0139
"cty31105","Kimball County, NE",0.0139
"cty36047","Kings County, NY",0.0138
"cty37133","Onslow County, NC",0.0138
"cty29077","Greene County, MO",0.0138
"cty17019","Champaign County, IL",0.0138
"cty26065","Ingham County, MI",0.0138
"cty18043","Floyd County, IN",0.0138
"cty18061","Harrison County, IN",0.0138
"cty29073","Gasconade County, MO",0.0138
"cty17081","Jefferson County, IL",0.0138
"cty13047","Catoosa County, GA",0.0138
"cty48377","Presidio County, TX",0.0138
"cty30105","Valley County, MT",0.0138
"cty39099","Mahoning County, OH",0.0138
"cty17165","Saline County, IL",0.0138
"cty54067","Nicholas County, WV",0.0138
"cty48159","Franklin County, TX",0.0138
"cty39163","Vinton County, OH",0.0138
"cty51115","Mathews County, VA",0.0138
"cty18131","Pulaski County, IN",0.0138
"cty04017","Navajo County, AZ",0.0137
"cty37021","Buncombe County, NC",0.0137
"cty48497","Wise County, TX",0.0137
"cty01103","Morgan County, AL",0.0137
"cty42133","York County, PA",0.0137
"cty48157","Fort Bend County, TX",0.0137
"cty37121","Mitchell County, NC",0.0137
"cty48335","Mitchell County, TX",0.0137
"cty26117","Montcalm County, MI",0.0137
"cty13247","Rockdale County, GA",0.0137
"cty17039","De Witt County, IL",0.0137
"cty47011","Bradley County, TN",0.0137
"cty49019","Grand County, UT",0.0137
"cty51005","Alleghany County, VA",0.0137
"cty13313","Whitfield County, GA",0.0137
"cty19115","Louisa County, IA",0.0137
"cty21205","Rowan County, KY",0.0137
"cty04007","Gila County, AZ",0.0136
"cty25025","Suffolk County, MA",0.0136
"cty32031","Washoe County, NV",0.0136
"cty16055","Kootenai County, ID",0.0136
"cty17201","Winnebago County, IL",0.0136
"cty48339","Montgomery County, TX",0.0136
"cty48323","Maverick County, TX",0.0136
"cty48215","Hidalgo County, TX",0.0136
"cty05037","Cross County, AR",0.0136
"cty13023","Bleckley County, GA",0.0136
"cty47085","Humphreys County, TN",0.0136
"cty21123","Larue County, KY",0.0136
"cty21067","Fayette County, KY",0.0136
"cty34017","Hudson County, NJ",0.0135
"cty04013","Maricopa County, AZ",0.0135
"cty20177","Shawnee County, KS",0.0135
"cty32007","Elko County, NV",0.0135
"cty12113","Santa Rosa County, FL",0.0135
"cty26049","Genesee County, MI",0.0135
"cty37179","Union County, NC",0.0135
"cty12109","St. Johns County, FL",0.0135
"cty42109","Snyder County, PA",0.0135
"cty47131","Obion County, TN",0.0135
"cty39141","Ross County, OH",0.0135
"cty22001","Acadia Parish, LA",0.0135
"cty54007","Braxton County, WV",0.0135
"cty18029","Dearborn County, IN",0.0135
"cty16053","Jerome County, ID",0.0135
"cty18107","Montgomery County, IN",0.0135
"cty39003","Allen County, OH",0.0135
"cty20101","Lane County, KS",0.0135
"cty18143","Scott County, IN",0.0135
"cty20127","Morris County, KS",0.0135
"cty20205","Wilson County, KS",0.0135
"cty21093","Hardin County, KY",0.0134
"cty45015","Berkeley County, SC",0.0134
"cty24005","Baltimore County, MD",0.0134
"cty51179","Stafford County, VA",0.0134
"cty21159","Martin County, KY",0.0134
"cty35023","Hidalgo County, NM",0.0134
"cty01075","Lamar County, AL",0.0134
"cty29017","Bollinger County, MO",0.0134
"cty17193","White County, IL",0.0134
"cty18133","Putnam County, IN",0.0134
"cty21115","Johnson County, KY",0.0134
"cty31043","Dakota County, NE",0.0133
"cty26109","Menominee County, MI",0.0133
"cty29097","Jasper County, MO",0.0133
"cty39095","Lucas County, OH",0.0133
"cty37049","Craven County, NC",0.0133
"cty12019","Clay County, FL",0.0133
"cty24017","Charles County, MD",0.0133
"cty48039","Brazoria County, TX",0.0133
"cty20081","Haskell County, KS",0.0133
"cty17077","Jackson County, IL",0.0133
"cty48501","Yoakum County, TX",0.0133
"cty39129","Pickaway County, OH",0.0133
"cty28037","Franklin County, MS",0.0133
"cty26043","Dickinson County, MI",0.0133
"cty15009","Maui County, HI",0.0133
"cty54081","Raleigh County, WV",0.0133
"cty24035","Queen Anne's County, MD",0.0133
"cty45073","Oconee County, SC",0.0133
"cty08111","San Juan County, CO",0.0133
"cty08029","Delta County, CO",0.0133
"cty21037","Campbell County, KY",0.0133
"cty40001","Adair County, OK",0.0132
"cty06025","Imperial County, CA",0.0132
"cty06071","San Bernardino County, CA",0.0132
"cty55059","Kenosha County, WI",0.0132
"cty45045","Greenville County, SC",0.0132
"cty41009","Columbia County, OR",0.0132
"cty42051","Fayette County, PA",0.0132
"cty29015","Benton County, MO",0.0132
"cty55077","Marquette County, WI",0.0132
"cty18153","Sullivan County, IN",0.0132
"cty28141","Tishomingo County, MS",0.0132
"cty51051","Dickenson County, VA",0.0132
"cty05099","Nevada County, AR",0.0132
"cty18035","Delaware County, IN",0.0132
"cty47079","Henry County, TN",0.0132
"cty39171","Williams County, OH",0.0132
"cty01131","Wilcox County, AL",0.0132
"cty30035","Glacier County, MT",0.0131
"cty40041","Delaware County, OK",0.0131
"cty45035","Dorchester County, SC",0.0131
"cty47093","Knox County, TN",0.0131
"cty45063","Lexington County, SC",0.0131
"cty26081","Kent County, MI",0.0131
"cty16001","Ada County, ID",0.0131
"cty29161","Phelps County, MO",0.0131
"cty53013","Columbia County, WA",0.0131
"cty51163","Rockbridge County, VA",0.0131
"cty47183","Weakley County, TN",0.0131
"cty47109","McNairy County, TN",0.0131
"cty18077","Jefferson County, IN",0.0131
"cty20155","Reno County, KS",0.0131
"cty18033","DeKalb County, IN",0.0131
"cty37053","Currituck County, NC",0.0131
"cty21097","Harrison County, KY",0.0131
"cty37085","Harnett County, NC",0.013
"cty48141","El Paso County, TX",0.013
"cty29179","Reynolds County, MO",0.013
"cty20057","Ford County, KS",0.013
