"cty","Name","High_School_Graduation_Rate_rP_gP_pall"
"cty06081","San Mateo County, CA",0.9058
"cty39011","Auglaize County, OH",0.9058
"cty26093","Livingston County, MI",0.9057
"cty08009","Baca County, CO",0.9057
"cty18147","Spencer County, IN",0.9057
"cty26103","Marquette County, MI",0.9056
"cty24003","Anne Arundel County, MD",0.9056
"cty41063","Wallowa County, OR",0.9056
"cty54081","Raleigh County, WV",0.9056
"cty17119","Madison County, IL",0.9055
"cty27151","Swift County, MN",0.9055
"cty42027","Centre County, PA",0.9055
"cty17191","Wayne County, IL",0.9054
"cty20185","Stafford County, KS",0.9053
"cty55015","Calumet County, WI",0.9052
"cty25003","Berkshire County, MA",0.9051
"cty17155","Putnam County, IL",0.9051
"cty36069","Ontario County, NY",0.905
"cty18161","Union County, IN",0.9049
"cty51135","Nottoway County, VA",0.9049
"cty39123","Ottawa County, OH",0.9047
"cty46087","McCook County, SD",0.9047
"cty51035","Carroll County, VA",0.9046
"cty42025","Carbon County, PA",0.9046
"cty32021","Mineral County, NV",0.9046
"cty31081","Hamilton County, NE",0.9046
"cty55141","Wood County, WI",0.9044
"cty17023","Clark County, IL",0.9044
"cty23007","Franklin County, ME",0.9044
"cty55119","Taylor County, WI",0.9043
"cty37135","Orange County, NC",0.9043
"cty25009","Essex County, MA",0.9042
"cty17145","Perry County, IL",0.9042
"cty47109","McNairy County, TN",0.9042
"cty31109","Lancaster County, NE",0.9041
"cty17159","Richland County, IL",0.9041
"cty20005","Atchison County, KS",0.9041
"cty46071","Jackson County, SD",0.904
"cty46081","Lawrence County, SD",0.9038
"cty36051","Livingston County, NY",0.9038
"cty21131","Leslie County, KY",0.9037
"cty54033","Harrison County, WV",0.9037
"cty42005","Armstrong County, PA",0.9037
"cty17001","Adams County, IL",0.9035
"cty31093","Howard County, NE",0.9035
"cty19077","Guthrie County, IA",0.9035
"cty51177","Spotsylvania County, VA",0.9035
"cty26109","Menominee County, MI",0.9034
"cty54041","Lewis County, WV",0.9033
"cty30049","Lewis and Clark County, MT",0.9032
"cty42029","Chester County, PA",0.9032
"cty51013","Arlington County, VA",0.9031
"cty27051","Grant County, MN",0.903
"cty27121","Pope County, MN",0.9029
"cty29033","Carroll County, MO",0.9028
"cty31151","Saline County, NE",0.9027
"cty55085","Oneida County, WI",0.9027
"cty16047","Gooding County, ID",0.9026
"cty27129","Renville County, MN",0.9026
